Gene Name,0h-1,0h-2,0h-3,3h-1,3h-2,3h-3,9h-1,9h-2,9h-3,12h-1,12h-2,12h-3
Phex2843 CYP,0.624417,0.966281,1.205746,-0.009563,-0.780227,-0.131981,-0.042711,-0.0312,-0.19202,0.009563,0.031133,0.352214
Phex2845 OMT,0.171629,0.822664,1.026098,0.308888,-0.552145,-0.011369,0.011369,-0.050448,-0.842094,-0.290168,-0.051567,0.178447
Phex28512 CYP,-2.505457,1.219513,1.094111,0.51375,-2.224661,-0.102378,0.102378,-1.311112,-0.61729,-3.341346,1.104858,0.172642
Phex28531 CYP,-1.231813,-0.349987,-0.489623,0.313673,-0.929452,-0.35933,0.49231,1.276106,0.686831,0.318586,-0.313673,0.72696
Phex2878 2-ODD,-0.362411,-0.068373,0.401316,0.400882,-0.760852,-0.216351,0.299412,0.685837,0.068373,0.548295,-0.816817,-0.169679
Phex28861 OMT,-1.245,-0.244892,0.432044,-1.039618,0,-0.989752,0,0.244892,0.450347,0.576022,-1.928293,0.330553
Phex28973 OMT,0.007179,0.733419,0.503165,-0.587481,-0.542061,-1.555246,0.576778,-0.999191,0.010641,-0.007179,0.293474,-0.9814
Phex29027 CYP,-0.600273,1.833821,1.593746,-2.30003,-2.083552,0.289696,0.839381,0,0,-1.324506,-0.289696,0.944161
Phex29134 OMT,0.056677,0.618747,0.804631,-0.947423,-0.056677,-0.129623,-0.128045,-0.124607,0.711766,0.672091,-0.442774,0.375882
Phex29182 CYP,-0.65002,-0.411192,-0.586881,0.035009,-0.145,1.327959,0.46152,-1.071443,0.900502,0.083133,0.844166,-0.035009
Phex29221 CYPa_1,-4.70465,0,-1.419904,2.658776,1.66283,2.386569,0,2.011021,-0.470331,1.013975,-2.437958,-0.656655
Phex29271 2-ODD,0,0.137299,-0.22729,0.911022,-0.645599,0.898504,-0.708123,0,-0.18294,0.581097,-0.137299,0.216931
Phex29275 OMT,-0.478796,0.25927,-0.362793,-0.81976,-2.673438,0.373342,0.164139,-0.835446,1.240915,0.771667,-0.164139,0.238071
Phex29338 2-ODD,-2.575416,0.759666,1.426696,-0.794451,0.047582,0.479072,-0.807582,-0.047582,-2.368722,0.38099,-0.742066,0.649398
Phex29408 OMT,-3.134208,-2.869637,-1.987603,0.134655,-0.347053,0.492878,0.65164,-1.125055,0.496566,-0.134655,0.823463,0.888203
Phex29496 CYP,-2.091787,-0.935606,-0.736919,-0.194602,-1.01585,1.027664,0.875959,-0.162792,0.538112,0.162792,0.23931,0.240687
Phex29566 CYP,0,0,-2.655403,-2.59193,-2.512432,0,0,1.809717,1.110208,1.200809,-0.210408,1.09704
Phex29584 CYP,-2.080611,0,-0.909465,0.994719,-0.181984,1.033815,-0.029368,0,1.341674,-0.805089,0.6987,1.084829
Phex29753 2-ODD,-1.751648,-0.765933,0.372201,1.053375,-1.436299,0.814631,0,0.779783,0,0.032281,-0.487131,-0.521346
Phex29868 OMT,-2.655049,0.203191,0.050986,-2.388887,-2.341189,-0.369653,-0.050986,0.222813,0.434604,-1.394405,0.689173,1.520245
